Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Вишняк Йосип;Юрійович;чоловік;06-01-1993;Локсмайстер;селище Мар'їнка;вулиця Нечипуренка, буд. 3, Галич, 10005;+380 75 872-67-01;valeriitymchenko@example.com
Карпа Клавдія;Валеріївна;жінка;19-10-1958;Кінолог;селище Білицьке;парк 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 00, Буринь, 37025;045 281-32-95;avhustynkarmaliuk@example.org
Гунько Ярослав;Миколайович;чоловік;11-09-1975;Клоун;місто Нове Давидково;вулиця Уманська, буд. 12, Донецьк, 96307;+380 (26) 912-92-69;ievhenradchenko@example.org
Опанасенко Марта;Валеріївна;жінка;15-06-1953;Петрограф;хутір Гребінка;парк Щоголєва, буд. 24 кв. 9, Прип'ять , 41081;+380 33 340 35 04;adatychyna@example.org
Їжакевич Франц;Тимофійович;чоловік;01-03-2005;Дантист;село Галич;парк Аеропортівський 4-й, буд. 64, Довжанськ, 74438;995 27 72;spasshtokalo@example.net
Гупало Олесь;Валерійович;чоловік;06-08-1966;Гірничий інженер;селище Радивилів;узвіз Ляпунова, буд. 8 кв. 07, Тульчин, 43693;+380 87 763-00-24;zorianpiatachenko@example.com
Бгиденко Марко;Андрійович;чоловік;02-12-1959;Фрілансер;село Чортків;провулок Сєрогодського, буд. 610, Вишневе , 48162;+380 42 321-64-44;arkhymovychbohuslav@example.org
Тягнибок Марія;Григорівна;жінка;27-03-1962;Фрілансер;селище Молодогвардійськ;парк Армійська, буд. 38 кв. 776, Ясинувата, 26342;+380 (77) 525-86-04;siukhymenko@example.net
Ґалаґан Світлана;Василівна;жінка;29-05-1939;Реставратор;селище Городище ;узвіз Деволанівська, буд. 9 кв. 47, Болехів, 96154;034 48 35;xrak@example.org
Луценко Світлана;Володимирівна;жінка;20-09-1950;Хореограф;село Боково-Хрустальне;набережна Пересипська 8-ма, буд. 4 кв. 4, Костопіль, 27367;043 693-00-72;komaroksana@example.net
Фесенко Віталій;Григорович;чоловік;05-11-1993;Паблік рилейшнз;хутір Виноградів;проспект Пересипський 2-й, буд. 8 кв. 0, Погребище, 67387;104 11 80;rostyslavbandura@example.org
Артюшенко Дан;Дмитрович;чоловік;02-06-1992;Ювелір;хутір Гребінка;парк Мостовий, буд. 13, Соледар, 50671;156 42 47;iustymkybkalo@example.com
Влох Августин;Іванович;чоловік;15-04-1963;Скульптор;селище Семенівка;вулиця Сьома, буд. 848, Новояворівськ, 88634;+380 82 874 49 18;hlibiurchuk@example.net
Баклан Борис;Валерійович;чоловік;07-04-1949;Гінеколог;селище Старокостянтинів;набережна Окружна, буд. 73, Галич, 73745;008 676 19 74;zhuravelvitalii@example.org
Романенко Симон;Дмитрович;чоловік;02-11-1973;Скульптор;хутір Ржищів;набережна Пляжна, буд. 268, Глиняни, 69590;+380 80 025-72-31;bandurkavalentyna@example.org
Слюсар Ярослава;Михайлівна;жінка;01-01-1946;Мінералог;селище Одеса;сквер Тургенєва, буд. 7, Мирноград, 23628;+380 16 453-72-59;odarkadrozdenko@example.org
Бевзенко Леон;Анатолійович;чоловік;09-12-1988;Агроном;місто Знам'янка;узвіз Умова, буд. 9 кв. 444, Берестечко, 87085;+380 (99) 747-62-00;leskhomenko@example.org
Радченко Олег;Володимирович;чоловік;19-06-1952;Скульптор;село Чигирин;провулок Мічманський 2-й, буд. 9 кв. 3, Святогірськ, 77042;784 28 88;valeriiiurchenko@example.org
Терещук Аліна;Іванівна;жінка;11-08-1946;Фотограф;село Хирів;шосе Юрія Олеші, буд. 1 кв. 976, Лубни, 62651;+380 29 230-79-82;dmytroderehus@example.com
Венгринович Зиновій;Володимирович;чоловік;16-10-1978;Стоматолог;село Тульчин;узвіз Ляпідевського, буд. 8, П'ятихатки, 62398;174-15-91;havryletsolha@example.org
Олійник Веніямин;Володимирович;чоловік;13-09-1995;Мікробіолог;місто Сміла;площа Братська, буд. 60 кв. 138, Пустомити, 15638;724 14 60;iirvanets@example.org
Наливайко Трохим;Олегович;чоловік;03-12-1964;Реставратор;селище Горохів;парк Чорноморський 1-й, буд. 4 кв. 2, Одеса, 52727;004 413-33-70;tsarenkofedir@example.org
Онуфрієнко Данна;Василівна;жінка;03-10-1985;Акушер;селище Бровари;провулок 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 72 кв. 243, Костянтинівка, 73770;110-69-89;umalyshko@example.com
Вівчаренко Валентин;Сергійович;чоловік;05-07-2005;Провізор;місто Чигирин;узвіз 12-та Суворовська, буд. 5, Лохвиця, 63743;+380 (36) 306-27-55;oksana16@example.net
Яковенко Златослава;Сергіївна;жінка;05-12-1991;Публіцист;село Остер ;проспект Прорізна, буд. 77, Вуглегірськ, 77133;072 614 27 63;liliia45@example.net
Царенко Оксенія;Сергіївна;жінка;18-07-1959;Ді-джей;місто Первомайський ;площа Житомирський 4-й, буд. 15 кв. 661, Мена , 91112;070 420-36-93;shukhevychrostyslav@example.org
Верхола Тарас;Тимофійович;чоловік;02-01-2006;Гірник;хутір Тернівка ;парк Старосінна, буд. 887 кв. 41, Дебальцеве, 89130;+380 (94) 044-94-45;chornoviladam@example.net
Чабан Мартин;Вітальович;чоловік;06-08-1943;Художник;селище Гребінка;узвіз Кривобалківська, буд. 70, Ужгород, 29193;+380 57 307 16 84;rvalenko@example.com
Ткач Юстим;Андрійович;чоловік;13-02-1982;Психолог;хутір Алупка;проспект Розкидайлівська, буд. 3 кв. 52, Миргород, 93837;+380 (67) 275-53-94;bbarannyk@example.net
Тихий Петро;Олегович;чоловік;28-09-1997;Дипломат;місто Березне;площа Черешнева, буд. 011, Зугрес, 55305;072 729-66-98;ievahaidenko@example.com
Теличенко Данна;Олегівна;жінка;30-11-1954;Історик;селище Білицьке;парк Ушакова, буд. 97, Золоте, 92515;+380 96 380-17-04;arsendrozd@example.org
Ірванець Мартин;Васильович;чоловік;23-04-1988;Головний меркшейдер;місто Ужгород;узвіз Вчительська, буд. 6 кв. 70, Шпола, 80396;495 06 61;les74@example.org
Василевич Орина;Дмитрівна;жінка;25-05-1995;Програміст;селище Верхівцеве;парк Рельєфна, буд. 417, Винники, 56051;280 40 00;viacheslav80@example.com
Бевзенко Григорій;Юрійович;чоловік;20-12-1966;Гірник;хутір Подільськ;проспект Басейний 6-й, буд. 9, Сулимівка (Слов'янськ), 91792;028 307-76-02;vasylandriichuk@example.com
Жадан Ярина;Віталівна;жінка;20-07-1945;Електромонтер;селище Коростишів;площа Зелена, буд. 186 кв. 49, Південне , 72584;777-35-30;valentyna90@example.org
Зінченко Лариса;Валеріївна;жінка;01-05-1940;Головний меркшейдер;селище Збараж;узвіз Бригадна, буд. 947 кв. 1, Старий Крим, 86496;095 075 28 23;bezborodkoalla@example.net
